,time(ms),V
0,0.0,0.07412109374999999
1,0.625,0.0346435546875
2,1.25,0.0475341796875
3,1.875,0.037060546874999996
4,2.5,0.033837890625
5,3.125,0.019335937499999997
6,3.75,0.037060546874999996
7,4.375,0.0523681640625
8,5.0,0.024169921875
9,5.625,0.042700195312499994
10,6.25,0.022558593749999998
11,6.875,0.0475341796875
12,7.5,0.0314208984375
13,8.125,0.038671874999999994
14,8.75,0.058813476562499994
15,9.375,0.0443115234375
16,10.0,0.038671874999999994
17,10.625,0.046728515624999994
18,11.25,0.043505859375
19,11.875,0.049145507812499996
20,12.5,0.023364257812499997
21,13.125,0.024169921875
22,13.75,0.026586914062499998
23,14.375,0.0652587890625
24,15.0,0.0523681640625
25,15.625,0.042700195312499994
26,16.25,0.02900390625
27,16.875,0.0459228515625
28,17.5,0.0523681640625
29,18.125,0.009667968749999999
30,18.75,0.04833984375
31,19.375,0.049951171875
32,20.0,0.033032226562499996
33,20.625,0.0555908203125
34,21.25,0.061230468749999996
35,21.875,0.022558593749999998
36,22.5,0.07814941406249999
37,23.125,0.049951171875
38,23.75,0.042700195312499994
39,24.375,0.0281982421875
40,25.0,0.02900390625
41,25.625,0.053173828124999996
42,26.25,0.027392578124999997
43,26.875,0.046728515624999994
44,27.5,0.04833984375
45,28.125,0.04833984375
46,28.75,0.0636474609375
47,29.375,0.0515625
48,30.0,0.0281982421875
49,30.625,0.0555908203125
50,31.25,0.027392578124999997
51,31.875,0.0346435546875
52,32.5,0.023364257812499997
53,33.125,0.054785156249999994
54,33.75,0.037060546874999996
55,34.375,0.042700195312499994
56,35.0,0.0668701171875
57,35.625,0.057202148437499996
58,36.25,0.040283203125
59,36.875,0.038671874999999994
60,37.5,0.0281982421875
61,38.125,0.0459228515625
62,38.75,0.033837890625
63,39.375,0.0378662109375
64,40.0,0.0636474609375
65,40.625,0.046728515624999994
66,41.25,0.0620361328125
67,41.875,0.042700195312499994
68,42.5,0.0362548828125
69,43.125,0.053173828124999996
70,43.75,0.056396484375
71,44.375,0.07009277343749999
72,45.0,0.056396484375
73,45.625,0.049145507812499996
74,46.25,0.020947265625
75,46.875,0.053173828124999996
76,47.5,0.0249755859375
77,48.125,0.049145507812499996
78,48.75,0.046728515624999994
79,49.375,0.02578125
80,50.0,0.023364257812499997
81,50.625,0.0459228515625
82,51.25,0.019335937499999997
83,51.875,0.0394775390625
84,52.5,0.026586914062499998
85,53.125,0.0580078125
86,53.75,0.095068359375
87,54.375,0.0362548828125
88,55.0,0.04833984375
89,55.625,0.043505859375
90,56.25,0.0475341796875
91,56.875,0.053173828124999996
92,57.5,0.0322265625
93,58.125,0.040283203125
94,58.75,0.0475341796875
95,59.375,0.03544921875
96,60.0,0.012890625
97,60.625,0.0249755859375
98,61.25,0.033032226562499996
99,61.875,0.0201416015625
100,62.5,0.015307617187499999
101,63.125,0.0636474609375
102,63.75,0.0322265625
103,64.375,0.022558593749999998
104,65.0,0.024169921875
105,65.625,0.033837890625
106,66.25,0.045117187499999996
107,66.875,0.061230468749999996
108,67.5,0.057202148437499996
109,68.125,0.043505859375
110,68.75,0.0362548828125
111,69.375,0.049951171875
112,70.0,0.0346435546875
113,70.625,0.040283203125
114,71.25,0.045117187499999996
115,71.875,0.033032226562499996
116,72.5,0.041088867187499996
117,73.125,0.0443115234375
118,73.75,0.038671874999999994
119,74.375,0.0475341796875
120,75.0,0.033837890625
121,75.625,0.0475341796875
122,76.25,0.06767578125
123,76.875,0.041088867187499996
124,77.5,0.0475341796875
125,78.125,0.0515625
126,78.75,0.0104736328125
127,79.375,0.0539794921875
128,80.0,0.038671874999999994
129,80.625,0.041088867187499996
130,81.25,0.0394775390625
131,81.875,0.04189453125
132,82.5,0.062841796875
133,83.125,0.0249755859375
134,83.75,0.046728515624999994
135,84.375,0.0708984375
136,85.0,0.058813476562499994
137,85.625,0.059619140625
138,86.25,0.024169921875
139,86.875,0.058813476562499994
140,87.5,0.0539794921875
141,88.125,0.0555908203125
142,88.75,0.0459228515625
143,89.375,0.049951171875
144,90.0,0.030615234374999998
145,90.625,0.049145507812499996
146,91.25,0.075732421875
147,91.875,0.046728515624999994
148,92.5,0.02900390625
149,93.125,0.038671874999999994
150,93.75,0.02900390625
151,94.375,0.042700195312499994
152,95.0,0.0169189453125
153,95.625,0.046728515624999994
154,96.25,0.037060546874999996
155,96.875,0.02900390625
156,97.5,0.0459228515625
