,time(ms),x_G,y_G,z_G
57,35.625,-0.0546875,-0.0390625,1.0
58,36.25,-0.0625,0.0,0.9921875
59,36.875,-0.0546875,-0.0390625,0.984375
60,37.5,-0.0390625,-0.015625,0.9921875
61,38.125,-0.0703125,-0.0234375,0.9921875
62,38.75,-0.0859375,-0.015625,0.9921875
63,39.375,-0.0703125,-0.0234375,1.0
64,40.0,-0.046875,-0.0234375,1.0
65,40.625,-0.046875,-0.0546875,1.0
66,41.25,-0.046875,-0.0390625,1.0
67,41.875,-0.0546875,-0.03125,0.984375
68,42.5,-0.0546875,-0.03125,1.0
69,43.125,-0.0859375,-0.015625,1.015625
70,43.75,-0.0625,-0.015625,1.0234375
71,44.375,-0.046875,-0.03125,1.0078125
72,45.0,-0.0546875,-0.03125,0.984375
73,45.625,-0.0625,0.0,1.0
74,46.25,-0.0625,-0.046875,1.0078125
75,46.875,-0.0625,0.0,1.0
76,47.5,-0.0703125,-0.0234375,1.0
77,48.125,-0.0546875,-0.03125,1.0
78,48.75,-0.0625,-0.03125,1.0
79,49.375,-0.03125,-0.03125,0.984375
80,50.0,-0.0546875,-0.0390625,0.9921875
81,50.625,-0.046875,-0.0390625,1.0
82,51.25,-0.0546875,0.0,1.0
83,51.875,-0.046875,-0.0390625,0.9921875
84,52.5,-0.0625,-0.03125,1.0
85,53.125,-0.0703125,-0.0390625,0.9921875
86,53.75,-0.0546875,-0.0390625,1.0
87,54.375,-0.0546875,-0.0234375,1.0
88,55.0,-0.0546875,-0.03125,1.0
89,55.625,-0.0546875,-0.0390625,1.0
90,56.25,-0.046875,-0.0390625,0.9921875
91,56.875,-0.0546875,-0.03125,1.0
92,57.5,-0.0625,-0.0234375,1.0
93,58.125,-0.0390625,-0.0390625,0.984375
94,58.75,-0.0625,-0.0234375,1.0
95,59.375,-0.0625,-0.0234375,0.984375
96,60.0,-0.0625,-0.046875,1.0078125
97,60.625,-0.046875,-0.0546875,1.0
98,61.25,-0.0546875,-0.03125,1.0
99,61.875,-0.0234375,-0.0625,0.9921875
100,62.5,-0.046875,-0.0234375,1.0
101,63.125,-0.046875,-0.0390625,1.0
102,63.75,-0.0390625,-0.0390625,1.0
103,64.375,-0.046875,-0.03125,1.0
104,65.0,-0.0625,0.0,1.0
105,65.625,-0.0390625,-0.046875,1.0078125
106,66.25,-0.0546875,-0.03125,0.984375
107,66.875,-0.0546875,-0.0234375,1.0
108,67.5,-0.03125,-0.0390625,1.0
109,68.125,-0.0234375,-0.0390625,1.0078125
110,68.75,-0.0234375,-0.046875,1.0078125
111,69.375,-0.046875,-0.0390625,0.9765625
112,70.0,-0.046875,-0.0234375,0.984375
113,70.625,-0.046875,-0.0390625,1.0
114,71.25,-0.03125,-0.0390625,1.0
115,71.875,-0.046875,-0.0234375,1.0078125
116,72.5,-0.046875,-0.0390625,1.0
117,73.125,-0.03125,-0.0390625,1.0
118,73.75,-0.03125,-0.03125,0.984375
119,74.375,-0.0390625,-0.046875,0.984375
120,75.0,-0.03125,-0.03125,1.0
121,75.625,-0.046875,-0.0390625,1.0
122,76.25,-0.0234375,-0.0390625,1.0
123,76.875,-0.0546875,-0.03125,1.0
124,77.5,-0.0390625,-0.0390625,1.0
125,78.125,-0.0390625,-0.015625,1.0
126,78.75,-0.046875,-0.03125,0.984375
127,79.375,-0.0390625,-0.03125,0.9921875
128,80.0,-0.0234375,-0.03125,1.0
129,80.625,-0.0390625,-0.03125,0.9921875
130,81.25,-0.0390625,-0.03125,0.984375
131,81.875,-0.046875,-0.0390625,0.984375
132,82.5,-0.0390625,-0.0546875,1.0
133,83.125,-0.0234375,-0.03125,1.0
134,83.75,-0.0234375,-0.0390625,1.0
135,84.375,-0.0234375,-0.0390625,1.0
136,85.0,-0.0390625,-0.0390625,0.984375
137,85.625,-0.0390625,-0.03125,1.0
138,86.25,-0.0234375,-0.0390625,1.0
139,86.875,-0.03125,-0.0390625,1.0
140,87.5,-0.03125,-0.046875,1.0
141,88.125,-0.0390625,-0.046875,0.984375
142,88.75,-0.015625,-0.03125,0.9921875
143,89.375,-0.0390625,-0.0390625,1.0
144,90.0,-0.03125,-0.03125,1.0
145,90.625,-0.015625,-0.046875,1.0
146,91.25,-0.0390625,-0.0390625,0.9765625
147,91.875,-0.0234375,-0.03125,1.0
148,92.5,-0.015625,-0.0390625,1.0
149,93.125,0.0,-0.0390625,0.984375
150,93.75,-0.0234375,-0.046875,1.0
151,94.375,-0.0390625,-0.015625,1.0
152,95.0,-0.015625,0.0,1.0
153,95.625,0.0,-0.046875,1.0
154,96.25,-0.015625,-0.03125,0.9921875
155,96.875,-0.015625,-0.03125,0.9921875
156,97.5,-0.015625,-0.0234375,0.984375
157,98.125,-0.03125,-0.0234375,0.9921875
158,98.75,-0.03125,-0.046875,1.0
159,99.375,-0.0234375,-0.03125,1.0
160,100.0,-0.0234375,-0.0390625,1.0
161,100.625,-0.0234375,-0.0234375,1.0
162,101.25,-0.03125,-0.0390625,0.984375
163,101.875,-0.03125,-0.0234375,1.0
164,102.5,-0.03125,-0.03125,1.0
165,103.125,-0.015625,-0.0390625,0.9921875
166,103.75,-0.0390625,-0.03125,1.0
167,104.375,-0.0234375,-0.03125,1.0
168,105.0,-0.0390625,-0.03125,1.0
169,105.625,-0.0234375,-0.046875,0.984375
170,106.25,-0.03125,-0.015625,0.9921875
171,106.875,-0.0390625,-0.0390625,0.9765625
172,107.5,-0.0390625,0.0,1.0
173,108.125,-0.03125,-0.03125,1.0
174,108.75,-0.015625,-0.0234375,1.0
