,time(ms),x_G,y_G,z_G
0,0.0,0.046875,-0.0625,1.0
1,0.625,0.0234375,-0.0625,1.0
2,1.25,0.0234375,-0.0625,1.0
3,1.875,0.046875,-0.0859375,1.0
4,2.5,0.03125,-0.0703125,1.0
5,3.125,0.03125,-0.0546875,0.9921875
6,3.75,0.03125,-0.0703125,0.9765625
7,4.375,0.0390625,-0.0703125,1.0
8,5.0,0.046875,-0.0859375,1.0
9,5.625,0.046875,-0.0859375,1.0
10,6.25,0.0390625,-0.078125,1.0078125
11,6.875,0.0234375,-0.0546875,1.0
12,7.5,0.0546875,-0.0703125,0.9921875
13,8.125,0.0390625,-0.078125,1.0
14,8.75,0.0234375,-0.046875,1.015625
15,9.375,0.046875,-0.0703125,1.0
16,10.0,0.0390625,-0.078125,1.0
17,10.625,0.0546875,-0.0546875,0.9921875
18,11.25,0.0234375,-0.0625,1.0
19,11.875,0.0234375,-0.078125,1.0234375
20,12.5,0.0234375,-0.0703125,1.0
21,13.125,0.0390625,-0.0625,1.0
22,13.75,0.0546875,-0.0625,0.9765625
23,14.375,0.0234375,-0.0546875,1.0
24,15.0,0.03125,-0.078125,0.984375
25,15.625,0.046875,-0.0703125,0.9765625
26,16.25,0.0234375,-0.0625,0.9921875
27,16.875,0.0390625,-0.078125,1.0078125
28,17.5,0.015625,-0.0390625,1.0
29,18.125,0.03125,-0.0625,1.0
30,18.75,0.0546875,-0.0703125,0.984375
31,19.375,0.03125,-0.0703125,1.0
32,20.0,0.03125,-0.078125,0.9765625
33,20.625,0.015625,-0.046875,1.0
34,21.25,0.015625,-0.0703125,1.0
35,21.875,0.0390625,-0.0625,0.984375
36,22.5,0.03125,-0.0546875,1.0
37,23.125,0.03125,-0.0546875,0.9921875
38,23.75,0.0546875,-0.0625,0.984375
39,24.375,0.0390625,-0.09375,0.9921875
40,25.0,0.0625,-0.078125,1.0390625
41,25.625,0.046875,-0.0703125,0.9921875
42,26.25,0.046875,-0.0703125,1.0
43,26.875,0.046875,-0.078125,1.0
44,27.5,0.0078125,-0.03125,1.0078125
45,28.125,0.046875,-0.078125,1.0390625
46,28.75,0.03125,-0.0390625,0.9609375
47,29.375,0.0390625,-0.0625,1.0
48,30.0,0.015625,-0.0625,1.0
49,30.625,0.0,-0.0546875,1.0
50,31.25,0.03125,-0.125,0.984375
51,31.875,0.0390625,-0.0546875,0.96875
52,32.5,0.03125,-0.0546875,1.0
53,33.125,0.0078125,-0.0546875,0.9921875
54,33.75,0.09375,-0.0859375,0.984375
55,34.375,0.03125,-0.109375,0.984375
56,35.0,0.0234375,-0.0546875,1.0
57,35.625,0.0390625,-0.0546875,1.0
58,36.25,0.0234375,-0.0625,1.0
59,36.875,0.09375,-0.0546875,1.0
60,37.5,0.0390625,-0.0703125,0.9765625
61,38.125,0.03125,-0.046875,1.0859375
62,38.75,0.0546875,-0.1015625,1.0
63,39.375,0.0390625,-0.046875,1.0
64,40.0,0.015625,-0.0546875,1.0
65,40.625,0.03125,-0.046875,1.0
66,41.25,0.03125,-0.0625,1.0
67,41.875,0.0390625,-0.0703125,1.015625
68,42.5,0.015625,-0.0703125,0.984375
69,43.125,0.03125,-0.0625,1.0
70,43.75,0.0390625,-0.078125,1.0
71,44.375,0.0234375,-0.078125,1.0078125
72,45.0,0.0390625,-0.0859375,1.0078125
73,45.625,0.0234375,-0.0703125,1.015625
74,46.25,0.0234375,-0.09375,0.9765625
75,46.875,0.015625,-0.0625,0.9921875
76,47.5,0.03125,-0.0546875,1.0
77,48.125,0.0234375,-0.0625,1.0
78,48.75,0.0234375,-0.0859375,0.9765625
79,49.375,0.03125,-0.0703125,1.0
80,50.0,0.0390625,-0.0625,1.0078125
81,50.625,0.0390625,-0.0703125,0.9921875
82,51.25,0.03125,-0.0703125,0.9921875
83,51.875,0.03125,-0.0703125,0.984375
84,52.5,0.0390625,-0.0703125,0.9765625
85,53.125,0.0234375,-0.0859375,1.0
86,53.75,0.0234375,-0.0625,0.984375
87,54.375,0.0234375,-0.0703125,0.9921875
88,55.0,0.0234375,-0.0546875,1.0
89,55.625,0.0234375,-0.0703125,0.9921875
90,56.25,0.03125,-0.078125,0.984375
91,56.875,0.03125,-0.0703125,0.9921875
92,57.5,0.0390625,-0.0703125,1.0
93,58.125,0.0390625,-0.0703125,0.9765625
94,58.75,0.03125,-0.0703125,0.9921875
95,59.375,0.015625,-0.0703125,0.9921875
96,60.0,0.0390625,-0.0703125,1.0
97,60.625,0.0234375,-0.078125,1.0
98,61.25,0.0234375,-0.0703125,1.0
99,61.875,0.0234375,-0.0703125,1.0
100,62.5,0.03125,-0.078125,1.0
101,63.125,0.03125,-0.0859375,1.0
102,63.75,0.03125,-0.078125,0.9921875
103,64.375,0.0078125,-0.0703125,1.0
104,65.0,0.015625,-0.0703125,1.0
105,65.625,0.03125,-0.0546875,1.0
106,66.25,0.0390625,-0.0703125,1.015625
107,66.875,0.03125,-0.078125,1.0
108,67.5,0.0390625,-0.0859375,0.9921875
109,68.125,0.046875,-0.078125,1.0
110,68.75,0.03125,-0.0625,1.0078125
111,69.375,0.0390625,-0.1015625,0.9921875
112,70.0,0.0234375,-0.0546875,0.984375
113,70.625,0.03125,-0.0625,1.0
114,71.25,0.0390625,-0.0546875,0.984375
115,71.875,0.03125,-0.0625,1.0078125
116,72.5,0.046875,-0.078125,0.984375
117,73.125,0.0390625,-0.0625,0.984375
118,73.75,0.0390625,-0.078125,0.9921875
119,74.375,0.03125,-0.09375,1.0078125
120,75.0,0.0390625,-0.0859375,0.984375
121,75.625,0.03125,-0.09375,0.984375
122,76.25,0.0390625,-0.078125,0.9765625
123,76.875,0.046875,-0.078125,1.0
124,77.5,0.03125,-0.0703125,1.0
125,78.125,0.0390625,-0.0703125,0.96875
126,78.75,0.046875,-0.0703125,1.0
127,79.375,0.03125,-0.0625,0.9921875
128,80.0,0.046875,-0.078125,1.0
129,80.625,0.0390625,-0.0859375,1.0
130,81.25,0.0234375,-0.078125,0.9921875
131,81.875,0.03125,-0.046875,1.0
132,82.5,0.015625,-0.0703125,1.0
133,83.125,0.046875,-0.0625,1.0
134,83.75,0.0234375,-0.0703125,0.9921875
135,84.375,0.0390625,-0.078125,0.9921875
136,85.0,0.0390625,-0.0546875,0.9921875
137,85.625,0.03125,-0.0703125,1.0078125
138,86.25,0.0234375,-0.0703125,1.0078125
139,86.875,0.046875,-0.078125,1.0
140,87.5,0.0390625,-0.0546875,1.0
141,88.125,0.0234375,-0.0625,0.984375
142,88.75,0.03125,-0.0625,0.9921875
143,89.375,0.0234375,-0.0703125,1.0
144,90.0,0.015625,-0.0625,1.0234375
145,90.625,0.0390625,-0.0703125,1.0
146,91.25,0.015625,-0.0625,1.0078125
147,91.875,0.0390625,-0.0703125,1.0
148,92.5,0.0234375,-0.0625,1.0
149,93.125,0.0390625,-0.0625,0.984375
150,93.75,0.0390625,-0.0859375,1.0
151,94.375,0.0390625,-0.078125,1.0078125
152,95.0,0.03125,-0.078125,1.0
153,95.625,0.03125,-0.0546875,1.0
154,96.25,0.0234375,-0.0625,0.96875
155,96.875,0.03125,-0.0625,0.9921875
156,97.5,0.0234375,-0.078125,0.984375
157,98.125,0.046875,-0.078125,0.9921875
158,98.75,0.03125,-0.0625,0.9765625
159,99.375,0.0390625,-0.0703125,0.984375
160,100.0,0.0234375,-0.0703125,1.0
161,100.625,0.015625,-0.0703125,1.0
162,101.25,0.015625,-0.0703125,1.0
163,101.875,0.03125,-0.0703125,1.0
164,102.5,0.03125,-0.078125,0.9921875
165,103.125,0.0390625,-0.0703125,1.0
166,103.75,0.03125,-0.046875,1.0
167,104.375,0.015625,-0.0625,0.9921875
168,105.0,0.046875,-0.0703125,0.9921875
169,105.625,0.0234375,-0.0703125,0.9765625
170,106.25,0.046875,-0.0703125,1.0
171,106.875,0.0234375,-0.078125,0.9921875
172,107.5,0.0234375,-0.0546875,1.0
173,108.125,0.03125,-0.0859375,0.9921875
174,108.75,0.0234375,-0.0625,1.0
175,109.375,0.015625,-0.0546875,1.0
176,110.0,0.0390625,-0.09375,1.0078125
177,110.625,0.0390625,-0.0625,1.0
178,111.25,0.0234375,-0.078125,0.9921875
179,111.875,0.0234375,-0.046875,0.9921875
180,112.5,0.03125,-0.0859375,1.0078125
181,113.125,0.03125,-0.0625,0.9921875
182,113.75,0.0234375,-0.0546875,1.0
183,114.375,0.0234375,-0.0546875,1.0
184,115.0,0.0234375,-0.046875,1.0
185,115.625,0.0078125,-0.0625,1.0
186,116.25,0.0390625,-0.0703125,0.9765625
187,116.875,0.0390625,-0.078125,0.9921875
188,117.5,0.03125,-0.078125,1.0
189,118.125,0.015625,-0.046875,1.0
190,118.75,0.03125,-0.078125,1.0
191,119.375,0.03125,-0.078125,0.984375
192,120.0,0.0234375,-0.0625,1.0
193,120.625,0.0234375,-0.078125,1.0
194,121.25,0.0234375,-0.0625,1.0
195,121.875,0.03125,-0.09375,0.9921875
196,122.5,0.03125,-0.0546875,0.984375
197,123.125,0.03125,-0.0625,0.9921875
198,123.75,0.0234375,-0.078125,1.0
199,124.375,0.0,-0.0625,1.0078125
200,125.0,0.046875,-0.0859375,0.9921875
201,125.625,0.0234375,-0.0546875,0.984375
202,126.25,0.03125,-0.0625,1.0
203,126.875,0.0234375,-0.0546875,1.0
204,127.5,0.0234375,-0.046875,1.0234375
205,128.125,0.03125,-0.1015625,0.9921875
206,128.75,0.03125,-0.0703125,0.953125
207,129.375,0.0234375,-0.0625,0.9765625
208,130.0,0.0234375,-0.0546875,1.0
209,130.625,0.0546875,-0.0546875,1.0078125
210,131.25,0.0390625,-0.1015625,1.0
211,131.875,0.0234375,-0.0546875,0.9609375
212,132.5,0.03125,-0.0625,1.0
213,133.125,0.0390625,-0.0703125,1.0
214,133.75,0.1015625,-0.09375,1.0
215,134.375,0.03125,-0.09375,0.9921875
216,135.0,0.03125,-0.0703125,1.03125
217,135.625,0.0234375,-0.03125,0.984375
218,136.25,0.046875,-0.0546875,1.0
219,136.875,0.0703125,-0.078125,0.96875
220,137.5,0.0546875,-0.1171875,0.9765625
221,138.125,0.03125,-0.0546875,1.0546875
222,138.75,0.0234375,-0.046875,1.03125
223,139.375,0.046875,-0.0703125,1.0
224,140.0,0.1015625,-0.0859375,1.0
225,140.625,0.0234375,-0.0625,1.0
226,141.25,0.046875,-0.0859375,1.0703125
227,141.875,0.0390625,-0.09375,1.0
228,142.5,0.0234375,-0.078125,1.0
229,143.125,0.015625,-0.0546875,1.0
230,143.75,0.0234375,-0.0390625,1.0
231,144.375,0.015625,-0.046875,1.0
232,145.0,0.03125,-0.0390625,1.0
233,145.625,0.015625,-0.0546875,1.0
234,146.25,0.0390625,-0.078125,1.0
235,146.875,0.03125,-0.0703125,1.0
236,147.5,0.03125,-0.0703125,1.0078125
237,148.125,0.03125,-0.0390625,1.0078125
238,148.75,0.046875,-0.0625,1.0078125
239,149.375,0.015625,-0.0546875,1.0
240,150.0,0.0234375,-0.0546875,1.015625
241,150.625,0.0390625,-0.0703125,1.0
242,151.25,0.015625,-0.0703125,0.984375
243,151.875,0.046875,-0.0703125,1.0
244,152.5,0.046875,-0.0546875,1.0
245,153.125,0.0234375,-0.0703125,1.0
246,153.75,0.03125,-0.0625,1.0
247,154.375,0.0390625,-0.0859375,1.0078125
248,155.0,0.0625,-0.0859375,1.0078125
249,155.625,0.03125,-0.0546875,1.0
250,156.25,0.0234375,-0.078125,0.9921875
251,156.875,0.0546875,-0.078125,1.0
252,157.5,0.03125,-0.078125,1.0
253,158.125,0.0234375,-0.0625,1.0
254,158.75,0.03125,-0.078125,1.0
255,159.375,0.03125,-0.0703125,1.0
256,160.0,0.03125,-0.078125,1.0
257,160.625,0.03125,-0.0703125,1.0
258,161.25,0.03125,-0.0703125,1.0
259,161.875,0.0234375,-0.0546875,1.0
260,162.5,0.015625,-0.078125,0.9921875
261,163.125,0.0234375,-0.078125,1.0
262,163.75,0.0234375,-0.078125,1.0
263,164.375,0.03125,-0.0625,0.9921875
264,165.0,0.03125,-0.0703125,1.0
265,165.625,0.046875,-0.0703125,1.0
266,166.25,0.03125,-0.0625,1.0
267,166.875,0.015625,-0.0625,1.0
268,167.5,0.0390625,-0.0703125,0.9921875
269,168.125,0.0390625,-0.0703125,1.0
270,168.75,0.015625,-0.0546875,0.9921875
271,169.375,0.0390625,-0.078125,1.0
272,170.0,0.0234375,-0.078125,1.0
273,170.625,0.015625,-0.0703125,1.0078125
274,171.25,0.0390625,-0.0859375,1.015625
275,171.875,0.0234375,-0.0625,0.9921875
276,172.5,0.03125,-0.0625,1.0
277,173.125,0.0234375,-0.0703125,0.9921875
278,173.75,0.046875,-0.0546875,1.0078125
279,174.375,0.0234375,-0.0625,1.0
280,175.0,0.03125,-0.0703125,0.984375
281,175.625,0.046875,-0.078125,1.0078125
282,176.25,0.0234375,-0.0703125,1.0
283,176.875,0.0390625,-0.078125,1.0
284,177.5,0.0078125,-0.0625,0.9921875
285,178.125,0.03125,-0.078125,1.0078125
286,178.75,0.0390625,-0.09375,1.0078125
287,179.375,0.0234375,-0.0625,0.9921875
288,180.0,0.03125,-0.0625,1.0
289,180.625,0.0234375,-0.078125,0.9921875
290,181.25,0.0390625,-0.0703125,1.0
291,181.875,0.03125,-0.0625,1.0
292,182.5,0.0390625,-0.078125,1.0
293,183.125,0.0234375,-0.0625,0.9921875
294,183.75,0.0234375,-0.0546875,1.0
295,184.375,0.03125,-0.0625,0.9765625
296,185.0,0.0390625,-0.0625,0.9921875
297,185.625,0.03125,-0.0625,0.984375
298,186.25,0.046875,-0.0859375,1.0
299,186.875,0.046875,-0.078125,0.9921875
300,187.5,0.0234375,-0.0703125,0.9765625
301,188.125,0.0390625,-0.09375,1.0
302,188.75,0.0390625,-0.078125,1.0
303,189.375,0.0234375,-0.0625,1.0078125
304,190.0,0.0234375,-0.0703125,0.984375
305,190.625,0.0390625,-0.0859375,1.0
306,191.25,0.0234375,-0.0546875,1.0
307,191.875,0.0234375,-0.0625,0.9921875
308,192.5,0.0234375,-0.0546875,0.984375
309,193.125,0.015625,-0.0625,0.9921875
310,193.75,0.03125,-0.0703125,0.9921875
311,194.375,0.046875,-0.078125,1.0
312,195.0,0.03125,-0.0703125,1.0
313,195.625,0.03125,-0.078125,1.0
314,196.25,0.0390625,-0.0625,1.0078125
315,196.875,0.03125,-0.0625,0.984375
316,197.5,0.03125,-0.0703125,0.9921875
317,198.125,0.015625,-0.0546875,0.9765625
318,198.75,0.0234375,-0.078125,1.0078125
319,199.375,0.015625,-0.0625,0.984375
320,200.0,0.0078125,-0.0625,1.0
321,200.625,0.0390625,-0.0859375,0.9921875
322,201.25,0.03125,-0.0625,1.0
323,201.875,0.0234375,-0.078125,1.0
324,202.5,0.046875,-0.078125,0.984375
325,203.125,0.0234375,-0.0625,1.0
326,203.75,0.03125,-0.0703125,1.0
327,204.375,0.03125,-0.0546875,1.0
328,205.0,0.0234375,-0.0703125,1.0078125
329,205.625,0.046875,-0.078125,1.0
330,206.25,0.0234375,-0.0625,0.9921875
331,206.875,0.046875,-0.0703125,1.0
332,207.5,0.03125,-0.0625,1.0
333,208.125,0.046875,-0.0859375,1.0
334,208.75,0.03125,-0.046875,0.96875
335,209.375,0.015625,-0.0546875,1.0078125
336,210.0,0.0234375,-0.0625,1.0
337,210.625,0.03125,-0.0625,1.0
338,211.25,0.0234375,-0.078125,1.0
339,211.875,0.0234375,-0.0703125,0.984375
340,212.5,0.03125,-0.09375,1.0
341,213.125,0.03125,-0.078125,1.0
342,213.75,0.015625,-0.0625,1.0
343,214.375,0.0234375,-0.0703125,0.984375
344,215.0,0.015625,-0.0546875,0.9921875
345,215.625,0.0234375,-0.0546875,0.9921875
346,216.25,0.0234375,-0.0625,1.0
347,216.875,0.03125,-0.0625,1.0
348,217.5,0.046875,-0.09375,0.984375
349,218.125,0.046875,-0.0703125,0.984375
350,218.75,0.03125,-0.0859375,1.0
351,219.375,0.0234375,-0.0703125,1.0
352,220.0,0.015625,-0.0546875,1.0
353,220.625,0.0234375,-0.09375,1.0
354,221.25,0.03125,-0.0625,0.9609375
355,221.875,0.0078125,-0.0625,0.9921875
356,222.5,0.046875,-0.078125,1.0
357,223.125,0.015625,-0.0703125,0.96875
358,223.75,0.0234375,-0.1015625,0.984375
359,224.375,0.0546875,-0.078125,0.96875
360,225.0,0.0234375,-0.0859375,1.0
361,225.625,0.03125,-0.0546875,1.0
362,226.25,0.046875,-0.0703125,0.9921875
363,226.875,0.0234375,-0.078125,0.9921875
364,227.5,0.046875,-0.0703125,0.9765625
365,228.125,0.03125,-0.0703125,1.0078125
366,228.75,0.03125,-0.078125,1.0
367,229.375,0.0625,-0.0625,1.0
368,230.0,0.0234375,-0.078125,0.9609375
369,230.625,0.03125,-0.078125,0.9765625
370,231.25,0.046875,-0.0625,1.015625
371,231.875,0.03125,-0.0703125,1.0
372,232.5,0.0859375,-0.0703125,1.0
373,233.125,0.046875,-0.109375,1.0
374,233.75,0.0703125,-0.0625,0.96875
375,234.375,0.0546875,-0.078125,1.0078125
376,235.0,0.0234375,-0.0625,1.0078125
377,235.625,0.0390625,-0.0546875,1.015625
378,236.25,0.0234375,-0.1015625,0.9765625
379,236.875,0.0390625,-0.0546875,0.96875
380,237.5,0.0390625,-0.046875,1.0
381,238.125,0.0,-0.0625,1.0
382,238.75,0.0859375,-0.0703125,1.0
383,239.375,0.0546875,-0.1484375,0.96875
384,240.0,0.046875,-0.0703125,0.9375
385,240.625,0.015625,-0.03125,1.015625
386,241.25,0.0390625,-0.0546875,1.0078125
387,241.875,0.1015625,-0.0859375,1.0
