,time(ms),V
0,0.0,0.0281982421875
1,0.625,0.037060546874999996
2,1.25,0.042700195312499994
3,1.875,0.033032226562499996
4,2.5,0.033032226562499996
5,3.125,0.033032226562499996
6,3.75,0.0088623046875
7,4.375,0.0443115234375
8,5.0,0.0298095703125
9,5.625,0.0362548828125
10,6.25,0.038671874999999994
11,6.875,0.033837890625
12,7.5,0.037060546874999996
13,8.125,0.02578125
14,8.75,0.033032226562499996
15,9.375,0.02900390625
16,10.0,0.0539794921875
17,10.625,0.0378662109375
18,11.25,0.061230468749999996
19,11.875,0.02578125
20,12.5,0.018530273437499998
21,13.125,0.0394775390625
22,13.75,0.0378662109375
23,14.375,0.01611328125
24,15.0,0.0322265625
25,15.625,0.023364257812499997
26,16.25,0.012890625
27,16.875,0.03544921875
28,17.5,0.0378662109375
29,18.125,0.019335937499999997
30,18.75,0.0362548828125
31,19.375,0.043505859375
32,20.0,0.042700195312499994
33,20.625,0.041088867187499996
34,21.25,0.043505859375
35,21.875,0.0314208984375
36,22.5,0.022558593749999998
37,23.125,0.0201416015625
38,23.75,0.0539794921875
39,24.375,0.042700195312499994
40,25.0,0.033837890625
41,25.625,0.027392578124999997
42,26.25,0.02900390625
43,26.875,0.06606445312499999
44,27.5,0.0378662109375
45,28.125,0.026586914062499998
46,28.75,0.027392578124999997
47,29.375,0.0169189453125
48,30.0,0.030615234374999998
49,30.625,0.0281982421875
50,31.25,0.0314208984375
51,31.875,0.0394775390625
52,32.5,0.043505859375
53,33.125,0.030615234374999998
54,33.75,0.020947265625
55,34.375,0.04833984375
56,35.0,0.046728515624999994
57,35.625,0.0515625
58,36.25,0.049145507812499996
59,36.875,0.0378662109375
60,37.5,0.0346435546875
61,38.125,0.040283203125
62,38.75,0.0120849609375
63,39.375,0.0249755859375
64,40.0,0.009667968749999999
65,40.625,0.0378662109375
66,41.25,0.04189453125
67,41.875,0.041088867187499996
68,42.5,0.046728515624999994
69,43.125,0.046728515624999994
70,43.75,0.013696289062499999
71,44.375,0.030615234374999998
72,45.0,0.030615234374999998
73,45.625,0.0217529296875
74,46.25,0.049951171875
75,46.875,0.0281982421875
76,47.5,0.03544921875
77,48.125,0.013696289062499999
78,48.75,0.0322265625
79,49.375,0.017724609375
80,50.0,0.050756835937499994
81,50.625,0.033032226562499996
82,51.25,0.015307617187499999
83,51.875,0.019335937499999997
84,52.5,0.0298095703125
85,53.125,0.0443115234375
86,53.75,0.0443115234375
87,54.375,0.030615234374999998
88,55.0,0.008056640625
89,55.625,0.02900390625
90,56.25,0.020947265625
91,56.875,0.0072509765625
92,57.5,0.0249755859375
93,58.125,0.0555908203125
94,58.75,0.0443115234375
95,59.375,0.022558593749999998
96,60.0,0.0394775390625
97,60.625,0.041088867187499996
98,61.25,0.013696289062499999
99,61.875,0.0314208984375
100,62.5,0.030615234374999998
101,63.125,0.0298095703125
102,63.75,0.046728515624999994
103,64.375,0.037060546874999996
104,65.0,0.0459228515625
105,65.625,0.038671874999999994
106,66.25,0.023364257812499997
107,66.875,0.033032226562499996
108,67.5,0.014501953125
109,68.125,0.012890625
110,68.75,0.0394775390625
111,69.375,0.045117187499999996
112,70.0,0.033837890625
113,70.625,0.0201416015625
114,71.25,0.020947265625
115,71.875,0.0684814453125
116,72.5,0.042700195312499994
117,73.125,0.022558593749999998
118,73.75,0.030615234374999998
119,74.375,0.0443115234375
