,time(ms),x_G,y_G,z_G
0,0.0,0.0390625,-0.0625,0.96875
1,0.625,0.0234375,-0.0546875,0.9765625
2,1.25,0.0234375,-0.0625,0.984375
3,1.875,0.015625,-0.0625,0.984375
4,2.5,0.03125,-0.0703125,0.984375
5,3.125,0.0,-0.03125,0.9765625
6,3.75,0.0,-0.0625,0.984375
7,4.375,0.0078125,-0.0625,1.0
8,5.0,0.015625,-0.0546875,0.953125
9,5.625,0.015625,-0.0625,0.96875
10,6.25,0.0078125,-0.0546875,1.0
11,6.875,0.015625,-0.046875,0.9921875
12,7.5,0.0078125,-0.046875,0.953125
13,8.125,0.015625,-0.046875,1.0078125
14,8.75,0.0234375,-0.0546875,0.9765625
15,9.375,0.015625,-0.0546875,1.0
16,10.0,0.0234375,-0.0703125,1.0
17,10.625,0.0234375,-0.0625,1.0
18,11.25,0.0390625,-0.0546875,1.0
19,11.875,0.03125,-0.0703125,1.0078125
20,12.5,0.0234375,-0.0546875,1.0234375
21,13.125,0.0390625,-0.046875,1.0
22,13.75,0.0390625,-0.0703125,1.0234375
23,14.375,0.0234375,-0.0546875,1.03125
24,15.0,0.046875,-0.078125,1.0390625
25,15.625,0.0234375,-0.0390625,1.0390625
26,16.25,0.0390625,-0.0703125,1.03125
27,16.875,0.046875,-0.0625,1.0703125
28,17.5,0.0546875,-0.0703125,1.0
29,18.125,0.046875,-0.078125,1.0078125
30,18.75,0.046875,-0.0859375,1.046875
31,19.375,0.046875,-0.0625,1.0234375
32,20.0,0.015625,-0.0546875,1.0
33,20.625,0.0390625,-0.1015625,1.0078125
34,21.25,0.03125,-0.0625,1.0078125
35,21.875,0.046875,-0.078125,1.0
36,22.5,0.046875,-0.0625,1.015625
37,23.125,0.0234375,-0.078125,0.9609375
38,23.75,0.0703125,-0.0859375,0.9765625
39,24.375,0.0,-0.0390625,0.96875
40,25.0,0.0234375,-0.0859375,1.0
41,25.625,0.03125,-0.0703125,0.9375
42,26.25,0.0078125,-0.0625,0.96875
43,26.875,0.0390625,-0.078125,0.9765625
44,27.5,0.0,-0.0625,0.953125
45,28.125,0.0,-0.0390625,0.9375
46,28.75,0.0,-0.09375,0.953125
47,29.375,0.0234375,-0.0625,1.015625
48,30.0,0.0078125,-0.0625,0.8984375
49,30.625,0.0078125,-0.0625,0.96875
50,31.25,0.0078125,-0.0625,0.953125
51,31.875,0.0390625,-0.046875,0.9765625
52,32.5,-0.0234375,0.0,0.984375
53,33.125,0.03125,-0.0859375,0.9609375
54,33.75,0.0234375,-0.046875,1.0625
55,34.375,0.0078125,-0.0390625,1.0
56,35.0,0.03125,-0.0546875,1.0
57,35.625,0.0390625,-0.0546875,1.0
58,36.25,0.109375,-0.078125,0.9921875
59,36.875,-0.0234375,0.0,1.0
60,37.5,0.0625,-0.046875,1.046875
61,38.125,0.0234375,-0.078125,0.96875
62,38.75,0.046875,-0.0625,1.0546875
63,39.375,0.03125,-0.078125,1.0390625
