,x_G,y_G,z_G,time(ms)
0,0.046875,-0.0625,0.9921875,0.0
1,0.0546875,-0.0859375,1.0,0.625
2,0.0234375,-0.0703125,1.015625,1.25
3,0.03125,-0.0703125,0.96875,1.875
4,0.046875,-0.078125,1.0,2.5
5,0.046875,-0.046875,0.9765625,3.125
6,0.03125,-0.078125,1.0,3.75
7,0.03125,-0.0703125,0.9921875,4.375
8,0.0390625,-0.0625,0.9921875,5.0
9,0.0546875,-0.0546875,0.984375,5.625
10,0.0703125,-0.0859375,0.9921875,6.25
11,0.03125,-0.0546875,1.0,6.875
12,0.046875,-0.078125,1.0,7.5
13,0.03125,-0.1015625,0.984375,8.125
14,0.046875,-0.09375,1.015625,8.75
15,0.03125,-0.09375,1.015625,9.375
16,0.0390625,-0.0703125,0.9765625,10.0
17,0.03125,-0.078125,0.984375,10.625
18,0.0390625,-0.078125,1.0,11.25
19,0.0546875,-0.078125,1.0,11.875
20,0.0234375,-0.0703125,1.0,12.5
21,0.03125,-0.0625,1.0,13.125
22,0.046875,-0.0703125,0.9921875,13.75
23,0.0625,-0.078125,1.0,14.375
24,0.0,-0.0390625,1.0,15.0
25,0.046875,-0.0859375,0.984375,15.625
26,0.0390625,-0.09375,0.9765625,16.25
27,0.03125,-0.0625,1.03125,16.875
28,0.03125,-0.078125,1.0,17.5
29,0.03125,-0.078125,0.9609375,18.125
30,0.03125,-0.0703125,1.0,18.75
31,0.046875,-0.046875,0.9921875,19.375
32,0.046875,-0.0625,1.0234375,20.0
33,0.0390625,-0.0859375,0.984375,20.625
34,0.0234375,-0.0625,1.0,21.25
35,0.0625,-0.09375,1.0,21.875
36,0.0625,-0.0546875,1.0,22.5
37,0.0,-0.03125,1.0,23.125
38,0.0078125,-0.0390625,1.0,23.75
39,0.03125,-0.1015625,0.9921875,24.375
40,0.03125,-0.0703125,1.015625,25.0
41,0.03125,-0.0546875,1.046875,25.625
42,0.046875,-0.0859375,0.9765625,26.25
43,0.03125,-0.0546875,1.0,26.875
44,0.0390625,-0.078125,0.9921875,27.5
45,0.03125,-0.0703125,1.0,28.125
46,0.0234375,-0.078125,1.0,28.75
47,0.0390625,-0.0625,1.0,29.375
48,0.0703125,-0.0703125,0.9921875,30.0
49,0.0390625,-0.078125,1.0,30.625
50,0.0,-0.03125,0.9921875,31.25
51,0.015625,-0.078125,1.0,31.875
52,0.0390625,-0.078125,1.0,32.5
53,0.046875,-0.078125,1.0390625,33.125
54,0.03125,-0.078125,0.953125,33.75
55,0.0390625,-0.0703125,0.9375,34.375
56,0.0234375,-0.0546875,0.9765625,35.0
57,0.03125,-0.078125,0.9921875,35.625
58,0.0390625,-0.0625,1.0,36.25
59,0.0390625,-0.0703125,0.9765625,36.875
60,0.03125,-0.0703125,1.0,37.5
61,0.1015625,-0.1015625,0.984375,38.125
62,0.0,0.0,1.0,38.75
63,-0.015625,0.0,0.9921875,39.375
64,0.03125,-0.09375,1.0,40.0
65,0.0546875,-0.078125,1.0,40.625
