,x_G,y_G,z_G,time(ms)
141,0.015625,-0.1328125,1.0,88.125
142,0.015625,-0.09375,1.03125,88.75
143,0.0078125,-0.0859375,1.0078125,89.375
144,0.0078125,-0.078125,0.96875,90.0
145,0.0,-0.0859375,1.0,90.625
146,0.0,-0.0703125,0.9921875,91.25
147,0.0234375,-0.1171875,1.0078125,91.875
148,0.0078125,-0.1171875,1.0,92.5
149,0.0,-0.078125,1.0,93.125
150,0.0,-0.078125,1.0,93.75
151,0.046875,-0.0703125,1.0078125,94.375
152,-0.03125,-0.0390625,1.015625,95.0
153,-0.03125,-0.0390625,1.0,95.625
154,0.0,-0.125,1.0,96.25
155,0.0,-0.0703125,1.0546875,96.875
156,0.0,-0.0703125,1.1015625,97.5
157,0.0,-0.0859375,0.96875,98.125
158,0.0,-0.078125,0.9921875,98.75
159,0.0,-0.0703125,1.0,99.375
160,0.0078125,-0.078125,1.0,100.0
161,0.0,-0.09375,1.0,100.625
162,0.0078125,-0.078125,1.0,101.25
163,0.0,-0.0859375,1.0,101.875
164,0.0546875,-0.078125,1.0078125,102.5
165,0.0,-0.0625,1.0,103.125
166,-0.015625,-0.0390625,1.0,103.75
167,0.0,-0.1328125,0.9765625,104.375
168,0.015625,-0.1015625,1.0078125,105.0
169,0.015625,-0.09375,1.0703125,105.625
170,0.015625,-0.1015625,0.953125,106.25
171,0.0234375,-0.1015625,1.0,106.875
172,0.0,-0.078125,1.0,107.5
173,0.0,-0.0859375,1.0,108.125
174,0.0078125,-0.0859375,0.9921875,108.75
175,0.015625,-0.0859375,1.0,109.375
176,0.015625,-0.0859375,1.015625,110.0
177,0.0625,-0.109375,1.0,110.625
178,0.0,-0.046875,1.0,111.25
179,0.0,-0.0390625,1.03125,111.875
180,0.0,-0.078125,1.0234375,112.5
181,0.0078125,-0.0625,1.0078125,113.125
182,0.03125,-0.0859375,1.0625,113.75
183,0.0234375,-0.09375,1.015625,114.375
184,0.0078125,-0.0703125,1.0078125,115.0
185,0.0,-0.09375,0.9921875,115.625
186,0.0234375,-0.1015625,0.984375,116.25
187,0.0078125,-0.09375,1.0078125,116.875
188,0.015625,-0.0859375,0.984375,117.5
189,0.0234375,-0.09375,0.984375,118.125
190,0.015625,-0.09375,1.0,118.75
191,0.0,-0.0703125,1.0,119.375
192,0.0,-0.078125,1.0,120.0
193,0.0078125,-0.1015625,1.0078125,120.625
194,0.0,-0.0859375,1.0,121.25
195,0.0,-0.0859375,0.984375,121.875
196,0.0,-0.078125,1.0,122.5
197,0.0,-0.078125,0.9921875,123.125
198,0.0,-0.0859375,1.015625,123.75
199,0.0078125,-0.1015625,0.9765625,124.375
200,0.0,-0.1015625,1.0078125,125.0
201,0.015625,-0.0859375,0.9921875,125.625
202,0.0,-0.09375,1.0,126.25
203,0.0,-0.1015625,1.0078125,126.875
204,0.0,-0.1015625,0.9609375,127.5
205,0.0,-0.09375,0.984375,128.125
206,0.0078125,-0.109375,1.0,128.75
207,0.0078125,-0.1015625,1.0,129.375
208,0.015625,-0.1015625,1.0,130.0
209,0.015625,-0.109375,0.9921875,130.625
210,0.0,-0.1015625,0.9921875,131.25
211,0.0,-0.0859375,0.984375,131.875
212,0.0078125,-0.078125,1.0,132.5
213,0.0,-0.0859375,1.03125,133.125
214,0.0,-0.0859375,1.0,133.75
215,0.0078125,-0.1015625,0.9921875,134.375
216,0.0390625,-0.1171875,1.0,135.0
217,0.015625,-0.1015625,1.0,135.625
218,0.0,-0.1015625,1.0078125,136.25
219,0.0234375,-0.1015625,1.0,136.875
220,0.0078125,-0.109375,1.0078125,137.5
221,0.03125,-0.125,0.9765625,138.125
222,0.0234375,-0.1015625,1.0,138.75
223,0.015625,-0.1015625,1.0,139.375
224,0.0078125,-0.109375,1.0,140.0
225,0.0234375,-0.1171875,1.0,140.625
226,0.0234375,-0.1171875,1.0,141.25
227,0.015625,-0.1015625,0.9921875,141.875
228,0.015625,-0.0859375,0.984375,142.5
229,0.0234375,-0.1171875,1.0,143.125
230,0.015625,-0.125,1.0,143.75
231,0.015625,-0.1171875,0.9921875,144.375
232,0.03125,-0.1171875,0.9921875,145.0
233,0.0078125,-0.1171875,0.9921875,145.625
234,0.015625,-0.109375,0.9921875,146.25
235,0.015625,-0.09375,0.9765625,146.875
236,0.0234375,-0.109375,1.0234375,147.5
237,0.0234375,-0.109375,1.0,148.125
238,0.0078125,-0.125,1.0,148.75
239,0.0078125,-0.109375,1.0,149.375
240,0.015625,-0.1015625,1.0,150.0
241,0.0,-0.09375,0.9921875,150.625
242,0.0078125,-0.1015625,1.0,151.25
243,0.0234375,-0.1171875,1.0,151.875
244,0.015625,-0.109375,1.0,152.5
245,0.015625,-0.1015625,1.0078125,153.125
246,0.015625,-0.09375,1.0,153.75
247,0.015625,-0.109375,0.984375,154.375
248,0.03125,-0.109375,1.0078125,155.0
249,0.015625,-0.109375,0.984375,155.625
250,0.0234375,-0.109375,1.0,156.25
251,0.0234375,-0.1171875,0.9921875,156.875
252,0.0,-0.1015625,1.0,157.5
253,0.046875,-0.140625,0.984375,158.125
254,0.015625,-0.1015625,1.0,158.75
255,0.0234375,-0.109375,0.9921875,159.375
256,0.046875,-0.1015625,0.9921875,160.0
257,0.03125,-0.09375,0.9765625,160.625
258,0.046875,-0.1015625,1.0,161.25
259,0.015625,-0.0859375,1.0,161.875
260,0.015625,-0.09375,0.9921875,162.5
261,0.015625,-0.109375,0.9765625,163.125
262,0.0,-0.09375,1.0078125,163.75
263,0.0390625,-0.125,0.9921875,164.375
264,0.03125,-0.109375,1.0,165.0
265,0.03125,-0.1015625,1.0,165.625
266,0.0234375,-0.0859375,0.984375,166.25
267,0.0234375,-0.09375,1.0,166.875
268,0.03125,-0.1015625,0.984375,167.5
269,0.03125,-0.1171875,1.0078125,168.125
270,0.0234375,-0.078125,1.0,168.75
271,0.03125,-0.078125,1.0078125,169.375
272,0.0234375,-0.1015625,1.0,170.0
273,0.0078125,-0.09375,1.0,170.625
274,0.0234375,-0.09375,0.984375,171.25
275,0.0390625,-0.1015625,0.96875,171.875
276,0.03125,-0.09375,0.984375,172.5
277,0.0234375,-0.09375,0.9921875,173.125
278,0.015625,-0.1015625,1.0,173.75
279,0.0234375,-0.1015625,1.0,174.375
280,0.046875,-0.109375,1.0,175.0
281,0.0234375,-0.1015625,1.0,175.625
282,0.0390625,-0.0859375,0.9921875,176.25
283,0.015625,-0.0859375,1.0,176.875
284,0.0234375,-0.0859375,0.984375,177.5
285,0.0234375,-0.109375,1.0,178.125
286,0.0234375,-0.09375,1.0,178.75
287,0.03125,-0.1015625,0.9921875,179.375
288,0.03125,-0.1015625,0.984375,180.0
289,0.03125,-0.0859375,1.0,180.625
290,0.03125,-0.1171875,1.0,181.25
291,0.015625,-0.1015625,0.9921875,181.875
292,0.0390625,-0.109375,1.0,182.5
293,0.03125,-0.109375,1.0,183.125
294,0.015625,-0.09375,0.984375,183.75
295,0.03125,-0.1015625,1.0,184.375
296,0.0234375,-0.09375,0.9921875,185.0
297,0.0390625,-0.109375,1.0,185.625
298,0.0,-0.0859375,1.0,186.25
299,0.015625,-0.09375,1.0,186.875
300,0.0546875,-0.1015625,0.984375,187.5
301,0.03125,-0.09375,0.9765625,188.125
302,0.0234375,-0.109375,0.9921875,188.75
303,0.0390625,-0.1015625,0.96875,189.375
304,0.0234375,-0.0859375,0.9921875,190.0
305,0.0390625,-0.109375,0.984375,190.625
306,0.0234375,-0.09375,0.984375,191.25
307,0.015625,-0.1015625,1.0,191.875
308,0.0390625,-0.09375,1.0078125,192.5
309,0.046875,-0.09375,1.0,193.125
310,0.0234375,-0.0859375,0.9921875,193.75
311,0.0234375,-0.0859375,0.9921875,194.375
312,0.015625,-0.0859375,0.9921875,195.0
313,0.03125,-0.1015625,0.9921875,195.625
314,0.03125,-0.09375,1.0,196.25
315,0.0234375,-0.09375,0.9765625,196.875
316,0.0234375,-0.1015625,0.9921875,197.5
317,0.015625,-0.078125,1.0,198.125
318,0.03125,-0.1015625,0.9921875,198.75
319,0.015625,-0.1015625,1.0,199.375
320,0.015625,-0.0859375,1.0,200.0
321,0.0234375,-0.1015625,0.984375,200.625
322,0.015625,-0.1015625,0.9921875,201.25
323,0.0234375,-0.09375,1.0,201.875
324,0.0390625,-0.1015625,1.0,202.5
325,0.015625,-0.0703125,1.015625,203.125
326,0.0234375,-0.0859375,0.96875,203.75
327,0.03125,-0.0859375,0.984375,204.375
328,0.03125,-0.09375,1.0,205.0
329,0.0234375,-0.0703125,0.9921875,205.625
330,0.0390625,-0.1015625,1.0,206.25
331,0.0234375,-0.078125,1.0,206.875
332,0.015625,-0.078125,0.9765625,207.5
333,0.0234375,-0.1015625,0.9765625,208.125
334,0.0234375,-0.1015625,1.0,208.75
335,0.03125,-0.09375,0.9921875,209.375
336,0.0234375,-0.1015625,0.9765625,210.0
337,0.015625,-0.0859375,0.9921875,210.625
338,0.0234375,-0.078125,0.9921875,211.25
339,0.0234375,-0.0859375,0.9921875,211.875
340,0.0234375,-0.078125,1.0,212.5
341,0.0390625,-0.1015625,0.9921875,213.125
342,0.0390625,-0.078125,0.9921875,213.75
343,0.015625,-0.078125,0.9921875,214.375
344,0.0234375,-0.0859375,1.0,215.0
345,0.0234375,-0.09375,1.0,215.625
346,0.03125,-0.1015625,0.9921875,216.25
347,0.0234375,-0.0859375,0.984375,216.875
348,0.03125,-0.078125,0.9921875,217.5
