,x_G,y_G,z_G,time(ms)
0,0.0390625,-0.0703125,1.0078125,0.0
1,0.0390625,-0.0703125,0.9921875,0.625
2,0.046875,-0.0625,1.0,1.25
3,0.046875,-0.0703125,1.0,1.875
4,0.046875,-0.078125,1.0234375,2.5
5,0.0625,-0.078125,0.9765625,3.125
6,0.0625,-0.0859375,1.015625,3.75
7,0.046875,-0.0703125,1.0,4.375
8,0.03125,-0.0859375,1.0,5.0
9,0.046875,-0.0546875,1.0,5.625
10,0.0390625,-0.078125,0.9921875,6.25
11,0.046875,-0.0625,1.0,6.875
12,0.0546875,-0.0546875,1.0078125,7.5
13,0.0546875,-0.0625,0.9921875,8.125
14,0.0546875,-0.0625,1.0,8.75
15,0.046875,-0.0546875,0.9921875,9.375
16,0.0390625,-0.0703125,1.015625,10.0
17,0.0390625,-0.046875,1.0,10.625
18,0.0390625,-0.078125,0.9921875,11.25
19,0.0546875,-0.078125,1.0,11.875
20,0.0625,-0.0703125,1.0,12.5
21,0.0546875,-0.09375,0.9765625,13.125
22,0.046875,-0.0703125,0.984375,13.75
23,0.046875,-0.078125,1.0,14.375
24,0.046875,-0.0703125,1.0,15.0
25,0.0546875,-0.0703125,1.0,15.625
26,0.046875,-0.0625,1.0078125,16.25
27,0.0390625,-0.0546875,1.0078125,16.875
28,0.0390625,-0.078125,1.0,17.5
29,0.0390625,-0.0703125,1.0,18.125
30,0.0390625,-0.078125,1.0,18.75
31,0.046875,-0.0625,0.984375,19.375
32,0.0546875,-0.0703125,1.015625,20.0
33,0.03125,-0.078125,1.0,20.625
34,0.03125,-0.0625,0.9921875,21.25
35,0.03125,-0.0546875,1.0078125,21.875
36,0.0625,-0.078125,1.0078125,22.5
37,0.046875,-0.0703125,1.0,23.125
38,0.046875,-0.0703125,1.0,23.75
39,0.03125,-0.0703125,1.0,24.375
40,0.046875,-0.078125,1.0078125,25.0
41,0.046875,-0.0546875,1.0,25.625
42,0.03125,-0.0625,1.0,26.25
43,0.0234375,-0.046875,1.0,26.875
44,0.046875,-0.0546875,1.0,27.5
45,0.046875,-0.0703125,1.0078125,28.125
46,0.046875,-0.09375,1.0,28.75
47,0.046875,-0.078125,0.984375,29.375
48,0.0390625,-0.0625,1.0,30.0
49,0.046875,-0.0546875,0.9921875,30.625
50,0.0390625,-0.0625,0.9921875,31.25
51,0.0390625,-0.0546875,1.0,31.875
52,0.03125,-0.0546875,1.0,32.5
53,0.015625,-0.078125,0.9765625,33.125
54,0.03125,-0.0625,1.0,33.75
55,0.015625,-0.0703125,1.0078125,34.375
56,0.03125,-0.0859375,1.0,35.0
57,0.0,-0.0703125,1.0,35.625
58,0.015625,-0.0546875,1.0,36.25
59,0.0234375,-0.0703125,1.0234375,36.875
60,0.046875,-0.0859375,1.0,37.5
61,0.046875,-0.0546875,0.984375,38.125
62,0.0390625,-0.0625,1.0,38.75
63,0.03125,-0.0546875,1.0078125,39.375
64,0.0234375,-0.0625,1.0,40.0
65,0.046875,-0.0625,0.984375,40.625
66,0.046875,-0.0625,1.0,41.25
67,0.0390625,-0.078125,0.9921875,41.875
68,0.0234375,-0.0546875,1.0234375,42.5
69,0.015625,-0.046875,0.9921875,43.125
70,0.0234375,-0.046875,0.9921875,43.75
71,0.03125,-0.0625,0.984375,44.375
72,0.0234375,-0.0703125,0.9921875,45.0
73,0.0390625,-0.0546875,1.0,45.625
74,0.0390625,-0.078125,0.984375,46.25
75,0.03125,-0.0546875,1.0,46.875
76,0.03125,-0.078125,0.984375,47.5
77,0.046875,-0.0703125,0.984375,48.125
78,0.046875,-0.0625,1.0,48.75
79,0.0625,-0.09375,0.9921875,49.375
80,0.046875,-0.0625,0.9921875,50.0
81,0.046875,-0.0625,0.9921875,50.625
82,0.0390625,-0.0625,1.0,51.25
83,0.046875,-0.0625,0.984375,51.875
84,0.03125,-0.0625,0.9921875,52.5
85,0.015625,-0.0546875,0.9921875,53.125
86,0.03125,-0.0703125,0.9921875,53.75
87,0.0234375,-0.078125,1.0,54.375
88,0.03125,-0.0625,0.9765625,55.0
89,0.03125,-0.078125,0.9765625,55.625
90,0.015625,-0.0703125,0.9921875,56.25
91,0.0390625,-0.078125,1.0,56.875
92,0.0078125,-0.0625,0.96875,57.5
93,0.015625,-0.0546875,1.0,58.125
94,0.0234375,-0.0625,1.0,58.75
95,0.015625,-0.0546875,1.0,59.375
96,0.0078125,-0.0625,0.984375,60.0
97,0.0234375,-0.0546875,0.984375,60.625
98,0.046875,-0.078125,0.9921875,61.25
99,0.0234375,-0.0703125,1.0,61.875
100,0.03125,-0.0703125,1.0078125,62.5
101,0.015625,-0.078125,0.9765625,63.125
102,0.0078125,-0.0390625,1.0,63.75
103,0.03125,-0.078125,1.0,64.375
104,0.0234375,-0.0625,0.9921875,65.0
105,0.0,-0.046875,0.9921875,65.625
106,0.03125,-0.0625,0.9921875,66.25
107,0.046875,-0.0546875,1.0,66.875
108,0.0234375,-0.0546875,1.0,67.5
109,0.03125,-0.0625,0.9921875,68.125
110,0.03125,-0.0390625,1.0,68.75
111,0.0234375,-0.0859375,0.9765625,69.375
112,0.0078125,-0.0546875,0.984375,70.0
113,0.03125,-0.046875,0.984375,70.625
114,0.0234375,-0.0546875,0.96875,71.25
115,0.015625,-0.0546875,1.0,71.875
116,0.03125,-0.0625,0.9921875,72.5
117,0.03125,-0.0625,0.9921875,73.125
118,0.0078125,-0.0546875,0.984375,73.75
119,0.03125,-0.0625,0.9921875,74.375
120,0.03125,-0.046875,1.0,75.0
121,0.0390625,-0.0625,0.9921875,75.625
122,0.0234375,-0.046875,1.0,76.25
123,0.0390625,-0.0703125,0.96875,76.875
124,0.0546875,-0.0625,0.9921875,77.5
125,0.03125,-0.0625,0.984375,78.125
126,0.0078125,-0.0234375,0.9921875,78.75
127,0.046875,-0.046875,0.9921875,79.375
128,0.03125,-0.046875,0.984375,80.0
129,0.0390625,-0.078125,0.9921875,80.625
130,0.0390625,-0.0625,0.9921875,81.25
131,0.03125,-0.0625,0.9921875,81.875
132,0.0234375,-0.0625,0.9765625,82.5
133,0.0390625,-0.0546875,1.0,83.125
134,0.046875,-0.0625,0.9921875,83.75
135,0.0390625,-0.0625,0.984375,84.375
136,0.03125,-0.0625,1.0,85.0
137,0.0390625,-0.0546875,0.984375,85.625
138,0.046875,-0.0703125,1.0,86.25
139,0.0390625,-0.0703125,0.984375,86.875
140,0.0546875,-0.0625,0.984375,87.5
141,0.0390625,-0.0625,0.9765625,88.125
142,0.046875,-0.046875,1.0,88.75
143,0.0546875,-0.0625,0.984375,89.375
144,0.0390625,-0.046875,1.0,90.0
145,0.0390625,-0.0625,1.0,90.625
146,0.046875,-0.046875,0.984375,91.25
147,0.03125,-0.0546875,1.0,91.875
148,0.046875,-0.0625,0.984375,92.5
149,0.046875,-0.046875,0.984375,93.125
150,0.03125,-0.0625,0.984375,93.75
151,0.03125,-0.0703125,0.984375,94.375
152,0.0390625,-0.046875,0.984375,95.0
153,0.046875,-0.078125,0.9765625,95.625
154,0.0390625,-0.046875,1.0,96.25
155,0.0546875,-0.0625,0.9921875,96.875
156,0.046875,-0.0703125,0.9921875,97.5
157,0.0546875,-0.0546875,0.984375,98.125
158,0.03125,-0.0390625,0.984375,98.75
159,0.046875,-0.0625,0.984375,99.375
160,0.046875,-0.0625,0.9921875,100.0
161,0.0703125,-0.078125,0.9921875,100.625
162,0.0546875,-0.0625,1.0,101.25
163,0.0625,-0.0625,1.0,101.875
164,0.0390625,-0.046875,0.984375,102.5
165,0.046875,-0.0625,1.0,103.125
166,0.0703125,-0.0703125,1.0,103.75
167,0.046875,-0.078125,1.0,104.375
168,0.03125,-0.0703125,1.0,105.0
169,0.046875,-0.046875,1.0,105.625
170,0.0546875,-0.0625,1.0,106.25
171,0.046875,-0.0546875,1.0,106.875
172,0.0546875,-0.0703125,1.0234375,107.5
173,0.0703125,-0.0625,1.0,108.125
