,x_G,y_G,z_G,time(ms)
0,0.03125,-0.0546875,0.9921875,0.0
1,0.03125,-0.0546875,0.984375,0.625
2,0.046875,-0.0625,1.0,1.25
3,0.03125,-0.0546875,1.0,1.875
4,0.0234375,-0.0546875,1.0,2.5
5,0.046875,-0.046875,0.9921875,3.125
6,0.046875,-0.0625,1.0,3.75
7,0.0234375,-0.0390625,1.0078125,4.375
8,0.0546875,-0.0703125,1.0,5.0
9,0.03125,-0.0546875,1.0,5.625
10,0.046875,-0.0546875,1.0,6.25
11,0.03125,-0.046875,1.015625,6.875
12,0.0390625,-0.0546875,0.984375,7.5
13,0.0390625,-0.046875,1.0,8.125
14,0.03125,-0.0703125,1.0,8.75
15,0.03125,-0.046875,0.9921875,9.375
16,0.0546875,-0.0625,0.984375,10.0
17,0.0390625,-0.0625,0.984375,10.625
18,0.0546875,-0.0625,1.0234375,11.25
19,0.0390625,-0.046875,0.9921875,11.875
20,0.0546875,-0.0390625,0.984375,12.5
21,0.046875,-0.0625,1.0,13.125
22,0.0390625,-0.0546875,0.984375,13.75
23,0.046875,-0.0625,0.9921875,14.375
24,0.0234375,-0.0390625,0.984375,15.0
25,0.0234375,-0.0546875,0.984375,15.625
26,0.0390625,-0.0625,0.9765625,16.25
27,0.0390625,-0.046875,0.9921875,16.875
28,0.0390625,-0.0390625,0.9765625,17.5
29,0.015625,-0.046875,0.984375,18.125
30,0.046875,-0.0703125,1.0,18.75
31,0.0390625,-0.046875,1.0,19.375
32,0.0390625,-0.046875,1.0,20.0
33,0.03125,-0.046875,1.0,20.625
34,0.03125,-0.046875,1.0,21.25
35,0.0390625,-0.0546875,1.0,21.875
36,0.03125,-0.046875,1.0,22.5
37,0.046875,-0.03125,1.0,23.125
38,0.015625,-0.046875,1.0,23.75
39,0.03125,-0.0625,1.0,24.375
40,0.046875,-0.046875,0.9921875,25.0
41,0.046875,-0.0546875,0.9921875,25.625
42,0.046875,-0.0234375,1.0,26.25
43,0.0390625,-0.046875,1.0078125,26.875
44,0.0390625,-0.046875,1.0,27.5
45,0.046875,-0.0390625,1.0,28.125
46,0.03125,-0.0546875,1.0,28.75
47,0.03125,-0.0625,0.9921875,29.375
48,0.0390625,-0.046875,1.0,30.0
49,0.0625,-0.0703125,0.9921875,30.625
50,0.046875,-0.0390625,0.9921875,31.25
51,0.0390625,-0.0390625,1.0,31.875
52,0.0546875,-0.0703125,1.0,32.5
53,0.0390625,-0.0703125,1.0,33.125
54,0.0390625,-0.03125,0.9921875,33.75
55,0.0234375,-0.03125,1.0,34.375
56,0.046875,-0.0546875,0.984375,35.0
57,0.03125,-0.046875,1.0,35.625
58,0.046875,-0.0625,1.0,36.25
59,0.03125,-0.0625,0.984375,36.875
60,0.046875,-0.0234375,1.0,37.5
61,0.0390625,-0.015625,0.9921875,38.125
62,0.046875,-0.03125,0.984375,38.75
63,0.03125,-0.03125,1.0,39.375
64,0.046875,-0.046875,0.984375,40.0
65,0.046875,-0.0390625,1.0,40.625
66,0.046875,-0.0546875,1.0,41.25
67,0.03125,-0.0546875,1.0,41.875
68,0.0390625,-0.046875,1.0,42.5
69,0.0234375,-0.03125,1.0078125,43.125
70,0.046875,-0.0390625,1.0,43.75
71,0.0234375,-0.0234375,1.0,44.375
72,0.046875,-0.0390625,0.9921875,45.0
73,0.0390625,-0.0546875,1.0,45.625
74,0.0546875,-0.0390625,1.0,46.25
75,0.046875,-0.0703125,0.9921875,46.875
76,0.03125,-0.03125,0.984375,47.5
77,0.046875,-0.0390625,0.9765625,48.125
78,0.0234375,-0.0234375,1.0,48.75
79,0.046875,-0.046875,0.9921875,49.375
80,0.03125,-0.03125,0.984375,50.0
81,0.0546875,-0.046875,1.0,50.625
82,0.046875,-0.046875,1.0,51.25
83,0.03125,-0.0390625,1.0,51.875
84,0.0390625,-0.0546875,1.0,52.5
85,0.046875,-0.0390625,1.0,53.125
86,0.046875,-0.03125,1.0,53.75
87,0.046875,-0.03125,1.0,54.375
88,0.0390625,-0.03125,1.0,55.0
89,0.046875,-0.03125,1.0,55.625
90,0.0234375,-0.046875,1.0078125,56.25
91,0.0546875,-0.03125,1.0,56.875
92,0.0625,-0.03125,0.9921875,57.5
93,0.046875,-0.046875,1.0,58.125
94,0.0546875,-0.046875,1.0,58.75
95,0.0390625,-0.046875,0.984375,59.375
96,0.0625,-0.0546875,1.0,60.0
97,0.0703125,-0.0546875,1.0,60.625
98,0.0546875,-0.0546875,1.0,61.25
99,0.046875,-0.046875,1.0078125,61.875
100,0.0546875,-0.03125,1.0078125,62.5
101,0.0390625,-0.0390625,1.0,63.125
102,0.0234375,0.0,1.0,63.75
103,0.03125,-0.03125,1.0,64.375
