1,24.1709225153
2,17.0010615364
3,12.7894423393
4,9.5060965903
5,7.1164896318
6,5.6976644285
7,4.4604978526
8,3.5837853122
9,2.8599696442
10,2.3023013433
11,1.8789599822
12,1.5979002538
13,1.3223357671
14,1.0794839745
15,0.9343406485
16,0.774935817
17,0.688276712
18,0.5852449095
19,0.5126572431
20,0.4431196422
21,0.4134627833
22,0.3518735447
23,0.3015880033
24,0.2789009868
25,0.243053699
26,0.2177391752
27,0.1943392754
28,0.1728267541
29,0.1570960024
30,0.1368018339
31,0.1409544624
32,0.1301902856
33,0.104195001
34,0.1000055523
35,0.0869146737
36,0.0863630989
37,0.0708428977
38,0.0749996856
39,0.0666220496
40,0.0580517521
41,0.0567933737
42,0.0630348721
43,0.0672079369
44,0.0526553575
45,0.0521923357
46,0.0574474629
47,0.0371814613
48,0.0394706035
49,0.0441098769
50,0.0371155102
51,0.0494912776
52,0.043830332
53,0.0308172267
54,0.0346354429
55,0.0299548422
56,0.0380839055
57,0.0281706569
58,0.0351979302
59,0.0300804479
60,0.0371742261
